Date,Topic,Weekday,Lecture,Other,Quiz Topic,Homework Topic,Homework Due Date,Hands On Machine Learning Chapters,Other Reading,,
1/9/2025,Introduction/Syllabus Review/Python Review,Thursday,Y,,,Find Data,1/14/2025,,,,
1/14/2025,Machine Learning Overview and Landscape/Basic Mathematical Notation and Definitions/Fundamental Concepts,Tuesday,Y,,,,,1,https://scikit-learn.org/stable/common_pitfalls.html,,
1/16/2025,Machine Learning Overview and Landscape/Basic Mathematical Notation and Definitions/Fundamental Concepts,Thursday,Y,,,,,2,https://scikit-learn.org/stable/machine_learning_map.html,,
1/21/2025,Numpy,Tuesday,Y,,Machine Learning Overview and Landscape/Basic Mathematical Notation and Definitions/Fundamental Concepts,,,,https://scikit-learn.org/stable/model_persistence.html,,
1/23/2025,Pandas,Thursday,Y,,,"Python, Pandas and Numpy",2/1/2025,,,,
1/28/2025,Data Prep and Preprocessing/Feature Engineering,Tuesday,Y,,"Python, Pandas and Numpy",,,,https://scikit-learn.org/stable/modules/compose.html,https://www.scribbr.com/methodology/data-cleansing/,https://www.datacamp.com/tutorial/techniques-to-handle-missing-data-values
1/30/2025,Data Prep and Preprocessing/Feature Engineering,Thursday,Y,,,Data Prep and Preprocessing/Feature Engineering,2/8/2025,,https://scikit-learn.org/stable/modules/preprocessing.html,https://www.scribbr.com/statistics/missing-data/,https://www.scribbr.com/statistics/outliers/
2/4/2025,Linear Regression and SGD/Regularization Techniques,Tuesday,Y,,Data Prep and Preprocessing/Feature Engineering,,,4,https://scikit-learn.org/stable/modules/linear_model.html,,
2/6/2025,Linear Regression and SGD/Regularization Techniques,Thursday,Y,,,Linear Regression,2/15/2025,,https://scikit-learn.org/stable/modules/sgd.html,,
2/11/2025,Logistic Regression and Performance Measures,Tuesday,Y,,Linear Regression and SGD/Regularization Techniques,,,3,https://scikit-learn.org/stable/modules/multiclass.html,,
2/13/2025,Logistic Regression and Performance Measures,Thursday,Y,,,Logistic Regression and Performance Measures,2/22/2025,,https://datascience.stackexchange.com/questions/73974/balanced-accuracy-vs-f1-score,,
2/18/2025,Time Series,Tuesday,Y,,Logistic Regression and Performance Measures,,,,,,
2/20/2025,Feb Break,Thursday,,,,,,,,,
2/25/2025,Time Series,Tuesday,Y,,,,,,,,
2/27/2025,Midterm Review,Thursday,,,,,,,,,
3/4/2025,Midterm,Tuesday,,,,,,,,,
3/6/2025,SVM,Thursday,Y,Midterm Grades Due,,,,5,https://scikit-learn.org/stable/modules/svm.html,,
3/11/2025,Unsupervised Learning/PCA,Tuesday,Y,,,,,8,https://scikit-learn.org/stable/modules/clustering.html#k-means,,
3/13/2025,Unsupervised Learning/PCA,Thursday,Y,Assign Project Meeting 1,,SVM/Unsupervised Learning,3/29/2025,9,https://scikit-learn.org/stable/modules/decomposition.html#principal-component-analysis-pca,,
3/18/2025,Spring Break,Tuesday,,,,,,,,,
3/20/2025,Spring Break,Thursday,,,,,,,,,
3/25/2025,Project Meeting 1,Tuesday,,,,,,,,,
3/27/2025,Decision Trees,Thursday,Y,,,,,6,https://scikit-learn.org/stable/modules/tree.html,,
4/1/2025,Ensemble Learning and Random Forests,Tuesday,Y,,SVM/Unsupervised Learning,Decision Trees/Ensemble Learning and Random Forests,4/12/2025,7,https://scikit-learn.org/stable/modules/ensemble.html,,
4/3/2025,Neural Networks,Thursday,Y,,,,,10,https://scikit-learn.org/stable/modules/neural_networks_supervised.html,,
4/8/2025,Neural Networks,Tuesday,Y,,Decision Trees/Ensemble Learning and Random Forests,,,11,,,
4/10/2025,Neural Networks,Thursday,Y,,,Neural Networks,4/19/2025,12,,,
4/15/2025,CNNs,Tuesday,Y,Assign Project Meeting 2,Neural Networks,,,14,,,
4/17/2025,RNNs,Thursday,Y,,,,,15,,,
4/22/2025,Project Meeting 2,Tuesday,,,,,,,,,
4/24/2025,Final Review,Thursday,,,,,,,,,
4/25/2025,Last Day of Classes,Friday,,,,,,,,,
5/5/2025,Final Exam @ 3:15PM in CAMP 177,Monday,,,,,,,,,
5/7/2025,Final Project Due,Wednesday,,,,,,,,,
5/9/2025,Grades Due,Friday,,,,,,,,,
